method_id,config_id,input_patch_bits,direct_preserved_input_bits,state_width,state_bits_per_value,state_storage_bits_per_token,tokens,heads,qk_bits,topk,trainable_parameters,hard_payload_bits,gate_count,logic_depth,fanout_max,capacity_note
scalelogic_d12,d12e384_local0,384,,384,8,3072,65,12,224,8,28359168,,,12,1536,"4x parameters versus d6 without matched-budget accuracy scaling; dense structural fanout upper bound 1536"
scalelogic_d12,d12e384_local4,384,,384,8,3072,65,12,224,8,28372992,,,12,1536,"early depthwise branch adds local bias but only 0.54 pp over local0; dense structural fanout upper bound 1536"
logic_tree_local,d6e192_local1,384,,192,8,1536,65,6,224,8,,,,6,768,"seven two-input LUTs per channel/bitplane; all selected identity in the measured run"
fixed_hadamard_global,d6e192_hadamard,384,,192,8,1536,65,6,224,8,,,,6,768,"parameter-free global butterfly does not add learned capacity"
global_a8_lut_tree,d12e384,384,,384,8,3072,65,12,224,8,,603979776,,12,1536,"72 MiB hard ROM payload; sparse coverage; dense structural fanout upper bound 1536"
attention_clean_ceiling,k8_augmented,384,,192,32,6144,65,6,,8,,,,6,768,"real-valued carrier; included only as an optimization and accuracy ceiling"
vit_lgn_combine_stage598,stage598,144,18,192,1,192,65,3,,15,,,,,,"ConvTree halves 144 to 18 before expansion; full model contains real-valued state"
vit_lgn_width_expansion,width_multiplier2,144,18,384,1,384,65,6,,15,,,,,,"post-bottleneck width expansion and x concatenation do not add source information"
bitstate_count_message_v0,w4096_d2d2_count_message,192,192,4096,1,4096,65,8,64,8,247424,36614432,14976,9,228,"five encoded count levels; 133,120 threshold outputs/sample; 4,326,400 fixed XNOR and 4,259,840 value-count inputs/sample"
bitplane_lut_argmax,w672_p512_v160_b2_k4_c16,512,512,84,8,672,1,,,,25600,24608,320,2,10,"512 raw planes are protected wires; 160 vote planes are learned per block; max observed three-seed payload fanout"
bitplane_lut_argmax,w832_p512_v320_b2_k4_c16,512,512,104,8,832,1,,,,51200,44608,640,2,12,"exact 2x learned gate/table scale versus v160; max observed three-seed payload fanout"
bitplane_lut_refit,w672_p512_v160_b2_k4_c16,512,512,84,8,672,1,,,,25600,24608,320,2,10,"same capacity as argmax; class-balanced empirical truth bits are refitted before freeze"
bitplane_lut_refit,w832_p512_v320_b2_k4_c16,512,512,104,8,832,1,,,,51200,44608,640,2,12,"same capacity as argmax; scaling must improve hard accuracy rather than only state entropy"
bitplane_lut_wiring_refit,w672_p512_v160_b2_k4_c16,512,512,84,8,672,1,,,,25600,24608,320,2,10,"same payload budget; coordinate search changes only registered source indices and truth bits"
bitplane_lut_wiring_refit,w832_p512_v320_b2_k4_c16,512,512,104,8,832,1,,,,51200,44608,640,2,12,"all learned deployment capacity remains LUT truth bits and discrete source indices"
bitplane_lut_abc_dc2_k4,w672_argmax_abc_k4_s012,512,512,84,8,672,1,,,,25600,15502,313,3,14,"conservative max over three argmax seeds after ABC; excludes fixed GroupSum/argmax; source learned payload was 17920 bits"
bitplane_lut_abc_dc2_k4,w832_argmax_abc_k4_s012,512,512,104,8,832,1,,,,51200,32656,606,3,21,"conservative max over three argmax seeds after ABC; excludes fixed GroupSum/argmax; source learned payload was 35840 bits"
bitplane_lut_argmax,c100_mixed_v64_d2,24576,24576,3872,8,30976,1,,,,1024000,1482240,12800,2,,"fixed mixed candidate baseline; each final vote has at most 16 raw-input support leaves before repeated-source reduction"
bitplane_lut_spatial_argmax,c100_spatial_v64_d2,24576,24576,3872,8,30976,1,,,,1024000,1482240,12800,2,,"same gate budget as mixed baseline; fixed 3x3 raw probes and same-class recurrent vote candidates"
bitplane_lut_spatial_argmax,c100_spatial_v128_d2,24576,24576,4672,8,37376,1,,,,2048000,2698240,25600,2,,"2x votes and gates versus v64 at the same Boolean depth; final support remains bounded by 16 leaves"
bitplane_lut_spatial_argmax,c100_spatial_v128_d4,24576,24576,4672,8,37376,1,,,,4096000,4746240,51200,4,,"same vote width as v128-d2 with 2x depth/gates and at most 256 raw-input support leaves per final vote"
bitplane_lut_spatial_argmax,c100_spatial_v256_d4,24576,24576,6272,8,50176,1,,,,8192000,9123840,102400,4,,"2x votes versus v128-d4; largest pre-registered logic-native capacity point"
bitplane_lut_sequence_mixed_argmax,shakespeare_mixed_v32_d2,512,512,324,8,2592,1,,,,332800,304128,4160,2,18,"matched global-routing baseline; 266240 learned LUT-plus-source bits and fixed Boolean encoder/integer readout metadata"
bitplane_lut_sequence_causal_argmax,shakespeare_causal_v32_d2,512,512,324,8,2592,1,,,,332800,304128,4160,2,127,"same gate and payload budget as mixed; candidates encode recent causal positions and same-class vote recurrence"
bitplane_lut_sequence_causal_argmax,shakespeare_causal_v64_d2,512,512,584,8,4672,1,,,,665600,636928,8320,2,182,"2x vote width and hard gates at fixed depth; no embedding or learned dense numeric matrix"
bitplane_lut_sequence_causal_argmax,shakespeare_causal_v64_d4,512,512,584,8,4672,1,,,,1331200,1202688,16640,4,182,"2x Boolean depth at fixed vote width; scale is accepted only with validation hard-accuracy improvement"
bitplane_lut_sequence_causal_argmax,shakespeare_causal_v128_d4,512,512,1104,8,8832,1,,,,2662400,2533888,33280,4,,"largest pre-registered character screen; learned payload is only truth bits and source indices"
